country,year_at_age,crisis_name,crisis_type_m
Chile,1975,Other Factors,3
Chile,1982,Other Factors,3
Chile,1983,Other Factors,3
China,1933,Other Factors,3
China,1934,Other Factors,3
China,1944,Wartime,1
China,1945,Wartime,1
China,1946,Wartime,1
China,1958,Other Factors,3
China,1959,Other Factors,3
China,1960,Other Factors,3
China,1961,Other Factors,3
Costa Rica,1923,,.
Costa Rica,1927,Other Factors,3
Costa Rica,1931,Other Factors,3
Costa Rica,1932,Other Factors,3
Costa Rica,1934,Other Factors,3
Costa Rica,1942,Wartime,1
Costa Rica,1943,Wartime,1
Costa Rica,1944,Wartime,1
Costa Rica,1980,Other Factors,3
Costa Rica,1981,Other Factors,3
Costa Rica,1982,Other Factors,3
Croatia,1987,Post-Communist Dissolution,2
Croatia,1988,Post-Communist Dissolution,2
Croatia,1989,Post-Communist Dissolution,2
Croatia,1990,Post-Communist Dissolution,2
Croatia,1991,Post-Communist Dissolution,2
Croatia,1992,Post-Communist Dissolution,2
Croatia,1993,Post-Communist Dissolution,2
Czech Republic,1991,Post-Communist Dissolution,2
Denmark,1915,,.
Denmark,1916,,.
Denmark,1917,,.
Denmark,1918,,.
Denmark,1940,Wartime,1
Denmark,1941,Wartime,1
Egypt,1916,,.
Egypt,1917,,.
Egypt,1918,,.
Egypt,1919,,.
Egypt,1920,,.
Egypt,1921,,.
Egypt,1924,,.
Egypt,1925,,.
Egypt,1926,,.
Egypt,1941,Wartime,1
Egypt,1942,Wartime,1
Egypt,1943,Wartime,1
Estonia,1990,Other Factors,3
Estonia,1991,Other Factors,3
Estonia,1992,Other Factors,3
Estonia,1993,Other Factors,3
Estonia,1994,Other Factors,3
Estonia,2009,Other Factors,3
Finland,1914,,.
Finland,1915,,.
Finland,1916,,.
Finland,1917,,.
Finland,1918,,.
Finland,1939,Wartime,1
Finland,1940,Wartime,1
Finland,1990,Other Factors,3
Finland,1991,Other Factors,3
Finland,1992,Other Factors,3
Finland,1993,Other Factors,3
France,1913,,.
France,1914,,.
France,1915,,.
France,1916,,.
France,1917,,.
France,1918,,.
France,1930,Other Factors,3
France,1931,Other Factors,3
France,1932,Other Factors,3
France,1933,Other Factors,3
France,1934,Other Factors,3
France,1935,Other Factors,3
France,1940,Wartime,1
France,1941,Wartime,1
France,1942,Wartime,1
France,1943,Wartime,1
France,1944,Wartime,1
Georgia,1989,Post-Communist Dissolution,2
Georgia,1990,Post-Communist Dissolution,2
Georgia,1991,Post-Communist Dissolution,2
Georgia,1992,Post-Communist Dissolution,2
Georgia,1993,Post-Communist Dissolution,2
Georgia,1994,Post-Communist Dissolution,2
Germany,1914,,.
Germany,1915,,.
Germany,1916,,.
Germany,1917,,.
Germany,1918,,.
Germany,1919,,.
Germany,1923,,.
Germany,1929,Other Factors,3
Germany,1930,Other Factors,3
Germany,1931,Other Factors,3
Germany,1932,Other Factors,3
Germany,1944,Wartime,1
Germany,1945,Wartime,1
Germany,1946,Wartime,1
Ghana,1932,Other Factors,3
Ghana,1933,Other Factors,3
Ghana,1937,Other Factors,3
Ghana,1975,Other Factors,3
Ghana,1976,Other Factors,3
Ghana,1979,Wartime,1
Ghana,1980,Wartime,1
Ghana,1981,Wartime,1
Ghana,1982,Wartime,1
Ghana,1983,Wartime,1
Greece,1919,,.
Greece,1922,,.
Greece,1923,,.
Greece,1940,Wartime,1
Greece,1941,Wartime,1
Greece,1942,Wartime,1
Greece,2008,Other Factors,3
Greece,2009,Other Factors,3
Greece,2010,Other Factors,3
Greece,2011,Other Factors,3
Greece,2012,Other Factors,3
Guatemala,1931,Other Factors,3
Guatemala,1932,Other Factors,3
Guatemala,1933,Other Factors,3
Guatemala,1942,Wartime,1
Guatemala,1943,Wartime,1
Guatemala,1944,Wartime,1
Guatemala,1945,Wartime,1
Guatemala,1981,Other Factors,3
Guatemala,1982,Other Factors,3
Guatemala,1983,Other Factors,3
Guatemala,1984,Other Factors,3
Guatemala,1985,Other Factors,3
Guatemala,1986,Other Factors,3
Guatemala,1987,Other Factors,3
Guatemala,1988,Other Factors,3
Haiti,1963,Wartime,1
Haiti,1964,Wartime,1
Haiti,1965,Wartime,1
Haiti,1966,Wartime,1
Haiti,1967,Wartime,1
Haiti,1981,Other Factors,3
Haiti,1982,Other Factors,3
Haiti,1983,Other Factors,3
Haiti,1984,Other Factors,3
Haiti,1985,Other Factors,3
Haiti,1986,Other Factors,3
Haiti,1987,Other Factors,3
Haiti,1992,Wartime,1
Haiti,1993,Wartime,1
Haiti,1994,Wartime,1
Hungary,1990,Other Factors,3
Hungary,1991,Other Factors,3
Hungary,1992,Other Factors,3
Iceland,1914,,.
Iceland,1915,,.
Iceland,1916,,.
Iceland,1917,,.
Iceland,1918,,.
Iceland,1920,,.
Iceland,1949,Other Factors,3
